VES S/N,Easting (Min),Northing (Min),Elev(m),No. of Layer,Curve Types,"Res. of layer
p1/p2/…pn-1",Thickness of layers h1/h2/h3/h4,"Depth of layers
d1/d2/d3/d4",Thickness Topsoil h1(m),Thickness Laterite h2(m),Thickness weathered h3 (m),Corrected Thick. weathered (m),Thickness Fractured h4 (m),Corrcted Thick. Fractured (m),"Thick. Overb.
B1=h1+h2",Total Aquifer Thick. B2=h3+h4,Corrected Total Aquifer Thick,DTFB= B1 + B2,Corrected DTB,Recom. DBH,p1,p2,p3,p4,p5,Res. Of Topsoil,Res. Of Laterite,Long. Cond. (mhos) Topsoil,Long. Cond. (mhos) Laterite,Long. Cond. (mhos) OVERBURRDEN,Storage Weathered,Storage Fractured,TOTAL STORAGE,Logarithm of Topsoil,RESISTIVITY OF FRESH BASEMENT,Logarithm Fresh Basement,"AQUIFER RES of Weathered. 
(Ohm-M)",Logarithm Weathered,Hydraulic Conductivity (K),Transmissivity (T),Cost of Constructing Borehole
211,34.93,29.75,310,4,HA,80.1/29.8/78.4/669.7,1.1/12.8/6.1,1.1/13.9/20.0,1.1,12.8,6.1,6.5209,0,0,13.9,6.1,6.5209,20,21.38,36.38,80.1,29.8,78.4,669.7,,80.1,29.8,0.014,0.430,0.443,7.825,0.000,7.825,1.904,669.700,2.826,78.400,1.894,6.6064,43.07942,236470.00
212,35.69,29.4,344,4,HA,222.7/68.6/666.6/181.9,2.4/9.1/26.1,2.4/11.5/37.6,2.4,9.1,26.1,27.9009,0,0,11.5,26.1,27.9009,37.6,40.1944,55.1944,222.7,68.6,666.6,181.9,,222.7,68.6,0.011,0.133,0.143,33.481,0.000,33.481,2.348,181.900,2.260,68.600,1.836,7.4827,208.77433,358763.60
213,35.1,29.95,328,4,AH,112.6/1355.6/176.8/1338.0,0.9/39.9/40.5,0.9/40.8/81.2,0.9,39.9,40.5,43.2945,0,0,40.8,40.5,43.2945,81.3,86.9097,101.9097,112.6,1355.6,176.8,1338,,112.6,1356,0.008,0.029,0.037,51.953,0.000,51.953,2.052,1338.000,3.126,176.800,2.247,3.0940,133.95254,662413.05
214,35.8,32.86,369,4,AH,346.7/236.9/676.6/1077.2,0.6/8.4/24.7,0.8/9.0/33.7,0.6,8.4,24.7,26.4043,0,0,9,24.7,26.4043,33.7,36.0253,51.0253,346.7,236.9,676.6,1077.2,,346.7,236.9,0.002,0.035,0.037,31.685,0.000,31.685,2.540,1077.200,3.032,236.900,2.375,2.3549,62.17936,331664.45
215,34.29,29.31,287,3,H,162.8/47.2/284.5,0.9/22.0,0.9/22.9,0.9,0,22,23.518,0,0,0.9,22,23.518,22.9,24.4801,39.4801,162.8,47.2,284.5,,,162.8,0,0.006,0.000,0.006,28.222,0.000,28.222,2.212,284.500,2.454,47.200,1.674,10.6056,249.42167,256620.65
216,34.71,29.65,384,3,H,46.5/21.7/94.5,2.1/18,2.1/20.1,2.1,0,18,19.242,0,0,2.1,18,19.242,20.1,21.4869,36.4869,46.5,21.7,94.5,,,46.5,0,0.045,0.000,0.045,23.090,0.000,23.090,1.667,94.500,1.975,21.700,1.336,21.8951,421.30595,237164.85
217,35.43,31.6,293,3,H,387.2/149.9/2071.4,1.6/19.3,1.6/20.9,1.6,0,19.3,20.6317,0,0,1.6,19.3,20.6317,20.9,22.3421,37.3421,387.2,149.9,2071.4,,,387.2,0,0.004,0.000,0.004,24.758,0.000,24.758,2.588,2071.400,3.316,149.900,2.176,3.6090,74.45932,242723.65
218,35.41,30.32,434,4,HA,338.2/110.0/403.8/176.8,1.4/8.7/23.5,1.4/10.1/33.6,1.4,8.7,23.5,25.1215,0,0,10.1,23.5,25.1215,33.6,35.9184,50.9184,338.2,110,403.8,176.8,,338.2,110,0.004,0.079,0.083,30.146,0.000,30.146,2.529,176.800,2.247,110.000,2.041,4.8169,121.00696,330969.60
219,33.91,29.11,421,4,HA,137.9/38.4/647.2/372.5,0.9/13.6/15.7,0.9/14.5/80.2,0.9,13.6,15.7,16.7833,0,0,14.5,15.7,16.7833,30.2,32.2838,47.2838,137.9,38.4,647.2,372.5,,137.9,38.4,0.007,0.354,0.361,20.140,0.000,20.140,2.140,372.500,2.571,38.400,1.584,12.8566,215.77582,307344.70
220,34.57,29.2,285,3,H,196/52.5/630.1,1.7/14.6,1.7/16.3,1.7,0,14.6,15.6074,0,0,1.7,14.6,15.6074,16.3,17.4247,32.4247,196,52.5,630.1,,,196,0,0.009,0.000,0.009,18.729,0.000,18.729,2.292,630.100,2.799,52.500,1.720,9.6033,149.88269,210760.55
