VES S/N,Easting (Min),Northing (Min),Elev(m),No. of Layer,Curve Types,"Res. of layer
p1/p2/…pn-1",Thickness of layers h1/h2/h3/h4,"Depth of layers
d1/d2/d3/d4",Thickness Topsoil h1(m),Thickness Laterite h2(m),Thickness weathered h3 (m),Corrected Thick. weathered (m),Thickness Fractured h4 (m),Corrcted Thick. Fractured (m),"Thick. Overb.
B1=h1+h2",Total Aquifer Thick. B2=h3+h4,Corrected Total Aquifer Thick,DTFB= B1 + B2,Corrected DTB,Recom. DBH,p1,p2,p3,p4,p5,Res. Of Topsoil,Res. Of Laterite,Long. Cond. (mhos) Topsoil,Long. Cond. (mhos) Laterite,Long. Cond. (mhos) OVERBURRDEN,Storage Weathered,Storage Fractured,TOTAL STORAGE,Logarithm of Topsoil,RESISTIVITY OF FRESH BASEMENT,Logarithm Fresh Basement,"AQUIFER RES of Weathered. 
(Ohm-M)",Logarithm Weathered,Hydraulic Conductivity (K),Transmissivity (T),Cost of Constructing Borehole
77,29.5,30.65,365,3,H,645.7/147.4/934.6,1.8/34.7,1.8/36.5,1.8,0,34.7,37.0943,0,0,1.8,34.7,37.0943,36.5,39.0185,54.0185,645.7,147.4,934.6,,,645.7,0,0.003,0.000,0.003,44.513,0.000,44.513,2.810,934.600,2.971,147.400,2.168,3.6660,135.98932,351120.25
78,29.85,28.45,318,3,H,80.6/23.1/151.5,0.9/13.2,0.9/14.1,0.9,0,13.2,14.1108,0,0,0.9,13.2,14.1108,14.1,15.0729,30.0729,80.6,23.1,151.5,,,80.6,0,0.011,0.000,0.011,16.933,0.000,16.933,1.906,151.500,2.180,23.100,1.364,20.6547,291.45438,195473.85
79,29.47,30.67,275,5,HA,407.3/51.8/375.2/55.8/497.6,1.5/2.6/4.6/21.0,1.5/4.1/8.7/29.8,1.5,2.6,4.6,4.9174,21,22.449,4.1,25.6,27.3664,29.7,31.7493,46.7493,407.3,51.8,375.2,55.8,497.6,407.3,51.8,0.004,0.050,0.054,5.901,3.929,9.829,2.610,497.600,2.697,51.800,1.714,9.7243,47.81833,303870.45
80,31.01,29.73,334,4,HK,143.7/25.4/176.2/25.2,1.3/7.1/13.4,1.3/8.4/21.8,1.3,7.1,13.4,14.3246,0,0,8.4,13.4,14.3246,21.8,23.3042,38.3042,143.7,25.4,176.2,25.2,,143.7,25.4,0.009,0.280,0.289,17.190,0.000,17.190,2.157,25.200,1.401,25.400,1.405,18.9045,270.79995,248977.30
81,29.34,32.32,334,4,KH,313.6/2146.6/21.8/418.4,0.4/0.7/3.8,0.4/1.1/4.8,0.4,0.7,3.8,4.0622,0,0,1.1,3.8,4.0622,4.9,5.2381,20.2381,313.6,2146.6,21.8,418.4,,313.6,2147,0.001,0.000,0.002,4.875,0.000,4.875,2.496,418.400,2.622,21.800,1.338,21.8014,88.56172,131547.65
82,31.01,29.73,336,4,HK,172.6/54.1/96.6/37.6,1.3/7.9/17.1,1.3/9.2/26.2,1.3,7.9,17.1,18.2799,0,0,9.2,17.1,18.2799,26.3,28.1147,43.1147,172.6,54.1,96.6,37.6,,172.6,54.1,0.008,0.146,0.154,21.936,0.000,21.936,2.237,37.600,1.575,54.100,1.733,9.3381,170.69961,280245.55
83,30.37,29.78,342,3,H,931.9/46.2/808.8,2.0/14.3,2.0/16.2,2,0,14.3,15.2867,0,0,2,14.3,15.2867,16.3,17.4247,32.4247,931.9,46.2,808.8,,,931.9,0,0.002,0.000,0.002,18.344,0.000,18.344,2.969,808.800,2.908,46.200,1.665,10.8195,165.39519,210760.55
84,31.4,31.3,296,4,HK,88.7/23.9/745.1/36.7,1.5/2.3/9.7,1.5/3.8/13.5,1.5,2.3,9.7,10.3693,0,0,3.8,9.7,10.3693,13.5,14.4315,29.4315,88.7,23.9,745.1,36.7,,88.7,23.9,0.017,0.096,0.113,12.443,0.000,12.443,1.948,36.700,1.565,23.900,1.378,20.0090,207.47972,191304.75
85,29.87,30.1,343,3,H,176.9/19.0/214.0,0.8/8.7,0.8/9.5,0.8,0,8.7,9.3003,0,0,0.8,8.7,9.3003,9.5,10.1555,25.1555,176.9,19,214,,,176.9,0,0.005,0.000,0.005,11.160,0.000,11.160,2.248,214.000,2.330,19.000,1.279,24.7843,230.50182,163510.75
86,29.97,29.97,335,3,H,156.6/30.9/404.1,1.6/19.9,1.6/21.5,1.6,0,19.9,21.2731,0,0,1.6,19.9,21.2731,21.5,22.9835,37.9835,156.6,30.9,404.1,,,156.6,0,0.010,0.000,0.010,25.528,0.000,25.528,2.195,404.100,2.606,30.900,1.490,15.7456,334.95767,246892.75
87,29.75,30.83,338,3,Q,457.5/140.2/220.4,3.4/8.5,3.4/11.9,3.4,0,8.5,9.0865,0,0,3.4,8.5,9.0865,11.9,12.7211,27.7211,457.5,140.2,220.4,,,457.5,0,0.007,0.000,0.007,10.904,0.000,10.904,2.660,220.400,2.343,140.200,2.147,3.8414,34.90461,180187.15
88,30.56,31.62,316,3,H,126.6/27.1/99.8,2.5/19.9,2.5/22.4,2.5,0,19.9,21.2731,0,0,2.5,19.9,21.2731,22.4,23.9456,38.9456,126.6,27.1,99.8,,,126.6,0,0.020,0.000,0.020,25.528,0.000,25.528,2.102,99.800,1.999,27.100,1.433,17.7959,378.57432,253146.40
89,29.82,32.27,331,3,H,159.8/877.5/152.7,0.9/2.4,0.9/3.3,0.9,0,2.4,2.5656,0,0,0.9,2.4,2.5656,3.3,3.5277,18.5277,159.8,877.5,152.7,,,159.8,0,0.006,0.000,0.006,3.079,0.000,3.079,2.204,152.700,2.184,152.700,2.184,3.5472,9.10071,120430.05
90,31.98,32.15,364,3,H,166.0/40.2/481.0,2.1/8.1,2.1/10.2,2.1,0,8.1,8.6589,0,0,2.1,8.1,8.6589,10.2,10.9038,25.9038,166,40.2,481,,,166,0,0.013,0.000,0.013,10.391,0.000,10.391,2.220,481.000,2.682,40.200,1.604,12.3188,106.66689,168374.70
91,32.05,31.89,304,3,H,564.9/36.3/1793.7,1.8/14.9,1.8/16.7,1.8,0,4.9,5.2381,0,0,1.8,4.9,5.2381,6.7,7.1623,22.1623,564.9,36.3,1793.7,,,564.9,0,0.003,0.000,0.003,6.286,0.000,6.286,2.752,1793.700,3.254,36.300,1.560,13.5491,70.97137,144054.95
92,30.38,32.11,330,4,KH,1176.1/98.8/218.1,0.7/1.2/7.9,0.7/1.9/9.8,0.7,1.2,7.9,8.4451,0,0,1.9,7.9,8.4451,9.8,10.4762,25.4762,1176.1,98.8,218.1,,,1176.1,98.8,0.001,0.012,0.013,10.134,0.000,10.134,3.070,218.100,2.339,98.800,1.995,5.3244,44.96481,165595.30
93,31.92,31.79,323,3,H,219.0/42.2/1677.2,1.5/14.8,1.5/16.3,1.5,0,14.8,15.8212,0,0,1.5,14.8,15.8212,16.3,17.4247,32.4247,219,42.2,1677.2,,,219,0,0.007,0.000,0.007,18.985,0.000,18.985,2.340,1677.200,3.225,42.200,1.625,11.7733,186.26717,210760.55
94,31.46,32.26,342,3,H,2524.2/533.2/2158.5,0.9/12.7,0.9/13.6,0.9,0,12.7,13.5763,0,0,0.9,12.7,13.5763,13.6,14.5384,29.5384,2524.2,533.2,2158.5,,,2524.2,0,0.000,0.000,0.000,16.292,0.000,16.292,3.402,2158.500,3.334,533.200,2.727,1.1049,15.00008,191999.60
95,31.71,28.3,268,3,H,117.2/14.0/99.3,0.8/29.3,0.8/30.2,0.8,0,29.3,31.3217,0,0,0.8,29.3,31.3217,30.1,32.1769,47.1769,117.2,14.1,99.3,,,117.2,0,0.007,0.000,0.007,37.586,0.000,37.586,2.069,99.300,1.997,14.000,1.146,32.9530,1032.14290,306649.85
96,32.07,28.01,335,3,H,250.9/101.6/682.7,3.0/10.6,3.0/13.6,3,0,10.6,11.3314,0,0,3,10.6,11.3314,13.6,14.5384,29.5384,250.9,101.6,682.7,,,250.9,0,0.012,0.000,0.012,13.598,0.000,13.598,2.400,682.700,2.834,101.600,2.007,5.1874,58.78006,191999.60
97,32.04,28.85,321,3,H,872.6/49.6/134.6,1.9/5.1,1.9/7.1,1.9,0,5.1,5.4519,0,0,1.9,5.1,5.4519,7,7.483,22.483,872.6,49.6,134.6,,,872.6,0,0.002,0.000,0.002,6.542,0.000,6.542,2.941,134.600,2.129,49.600,1.695,10.1261,55.20632,146139.50
98,32.06,28.44,321,3,H,184.7/26.2/175.3,1.6/12.0,1.6/13.6,1.6,0,12,12.828,0,0,1.6,12,12.828,13.6,14.5384,29.5384,184.7,26.2,175.3,,,184.7,0,0.009,0.000,0.009,15.394,0.000,15.394,2.266,175.300,2.244,26.200,1.418,18.3655,235.59283,191999.60
99,32.06,28.6,305,5,HKH,372.0/118.0/644.2/137.3/1544.2,1.4/4.6/10.6/17.6,1.4/6.0/16.6/34.2,1.4,4.6,10.6,11.3314,17.6,18.8144,6,28.2,30.1458,34.2,36.5598,51.5598,372,118,644.2,137.3,1544,372,118,0.004,0.039,0.043,13.598,3.293,16.890,2.571,1544.200,3.189,118.000,2.072,4.5115,51.12190,335138.70
100,30.8,28.92,408,4,HA,115.5/41.0/163.3/528.8,1.4/5.4/44.5,1.4/6.8/51.4,1.4,5.4,44.5,47.5705,0,0,6.8,44.5,47.5705,51.3,54.8397,69.8397,115.5,41,163.5,528.8,,115.5,41,0.012,0.132,0.144,57.085,0.000,57.085,2.063,528.800,2.723,41.000,1.613,12.0944,575.33616,453958.05
101,30.44,28.56,322,4,KH,171.1/380.6/96.5/450.1,1.3/2.6/8.7,1.3/3.9/12.6,1.3,2.6,8.7,9.3003,0,0,3.9,8.7,9.3003,12.6,13.4694,28.4694,171.1,380.6,96.5,450.1,,171.1,380.6,0.008,0.007,0.014,11.160,0.000,11.160,2.233,450.100,2.653,96.500,1.985,5.4427,50.61829,185051.10
102,30.9,29.24,379,3,H,205.4/49.5/17762.3,2.3/6.3,2.3/8.6,2.3,0,6.3,6.7347,0,0,2.3,6.3,6.7347,8.6,9.1934,24.1934,205.4,49.5,17762.3,,,205.4,0,0.011,0.000,0.011,8.082,0.000,8.082,2.313,17762.300,4.249,49.500,1.695,10.1452,68.32455,157257.10
103,31.09,28.58,331,3,H,197.5/43.4/346.6,5.5/26.0,5.5/31.5,5.5,0,26,27.794,0,0,5.5,26,27.794,31.5,33.6735,48.6735,197.5,43.4,346.6,,,197.5,0,0.028,0.000,0.028,33.353,0.000,33.353,2.296,346.600,2.540,43.400,1.637,11.4693,318.77821,316377.75
104,31.17,28.72,389,3,H,347.8/61.2/848.7,7.7/21.7,7.7/29.4,7.7,0,21.7,23.1973,0,0,7.7,21.7,23.1973,29.4,31.4286,46.4286,347.8,61.2,848.7,,,347.8,0,0.022,0.000,0.022,27.837,0.000,27.837,2.541,848.700,2.929,61.200,1.787,8.3234,193.08086,301785.90
105,30.55,28.7,354,3,H,372.0/50.2/805.3,2.9/40.1,2.9/43.1,2.9,0,40.1,42.8669,0,0,2.9,40.1,42.8669,43,45.967,60.967,372,50.2,805.3,,,372,0,0.008,0.000,0.008,51.440,0.000,51.440,2.571,805.300,2.906,50.200,1.701,10.0131,429.23166,396285.50
106,30.1,29.42,275,4,KH,235.7/422.4/75.3/593.9,0.8/1.5/26.3,2.3/28.6,0.8,1.5,26.3,28.1147,0,0,2.3,26.3,28.1147,28.6,30.5734,45.5734,235.7,422.4,75.3,593.9,,235.7,422.4,0.003,0.004,0.007,33.738,0.000,33.738,2.372,593.900,2.774,75.300,1.877,6.8597,192.85900,296227.10
107,31.24,28.11,326,4,HA,111.3/22.4/83.7/128.4,1.6/6.5/15.8,1.6/8.1/58.9,1.6,6.5,15.8,16.8902,0,0,8.1,15.8,16.8902,23.9,25.5491,40.5491,111.3,22.4,83.7,128.4,,111.3,22.4,0.014,0.290,0.305,20.268,0.000,20.268,2.046,128.400,2.109,22.400,1.350,21.2562,359.02116,263569.15
108,29.79,29.09,298,4,KH,273.2/330.6/55.4/856.7,1.3/3.7/8.0,1.3/5.0/13.1,1.3,3.7,8,8.552,0,0,5,8,8.552,13,13.897,28.897,273.2,330.6,55.4,856.7,,273.2,330.6,0.005,0.011,0.016,10.262,0.000,10.262,2.436,856.700,2.933,55.400,1.744,9.1335,78.10999,187830.50
109,29.7,28.25,354,3,H,32.7/21.0/827.9,1.8/16.8,1.8/18.7,1.8,0,16.8,17.9592,0,0,1.8,16.8,17.9592,18.6,19.8834,34.8834,32.7,21,827.9,,,32.7,21,0.055,0.000,0.055,21.551,0.000,21.551,1.515,827.900,2.918,21.000,1.322,22.5752,405.43224,226742.10
110,29.4,28.34,327,4,KH,290.7/263.0/71.5/270.4,0.5/1.1/23.1,0.5/1.6/54.6,0.5,1.1,23.1,24.6939,0,0,1.6,23.1,24.6939,24.7,26.4043,41.4043,290.7,263,71.5,270.4,,290.7,263,0.002,0.004,0.006,29.633,0.000,29.633,2.463,270.400,2.432,71.500,1.854,7.1992,177.77656,269127.95
111,30.4,28.24,343,4,AK,240.2/336.0/388.5/665.3,2.8/23.9/13.3,2.8/26.8/60.1,2.8,23.9,13.3,14.2177,0,0,26.7,13.3,14.2177,40,42.76,57.76,240.2,336,388.5,665.3,,240.2,336,0.012,0.071,0.083,17.061,0.000,17.061,2.381,665.300,2.823,936.000,2.971,0.6536,9.29333,375440.00
112,30.23,28.07,343,4,H,90.4/15.6/9086.7,2.2/4.4,2.2/6.6,2.2,0,4.4,4.7036,0,0,2.2,4.4,4.7036,6.6,7.0554,22.0554,90.4,15.6,9086.7,,,90.4,0,0.024,0.000,0.024,5.644,0.000,5.644,1.956,9086.700,3.958,15.600,1.193,29.7889,140.11514,143360.10
113,30.9,28.24,310,3,H,718.8/95.5/2779.1,3.8/10.7,3.8/14.5,3.8,0,10.7,11.4383,0,0,3.8,10.7,11.4383,14.5,15.5005,30.5005,718.8,95.5,2779.1,,,718.8,0,0.005,0.000,0.005,13.726,0.000,13.726,2.857,2779.100,3.444,95.500,1.980,5.4958,62.86256,198253.25
114,31.08,28.37,341,3,H,99.6/21.2/592.7,1.9/12.4,1.9/14.4,1.9,0,12.4,13.2556,0,0,1.9,12.4,13.2556,14.3,15.2867,30.2867,99.6,21.2,592.7,,,99.6,0,0.019,0.000,0.019,15.907,0.000,15.907,1.998,592.700,2.773,21.200,1.326,22.3765,296.61330,196863.55
115,29.74,28.73,329,3,H,210.4/26.8/1023.4,3.0/8.0,3.0/10.9,3,0,8,8.552,0,0,3,8,8.552,11,11.759,26.759,210.4,26.8,1023.4,,,210.4,0,0.014,0.000,0.014,10.262,0.000,10.262,2.323,1023.400,3.010,26.800,1.428,17.9817,153.77928,173933.50
116,35.6,28.18,342,4,KH,104.1/823.3/162.6/772.5,0.8/2.5/18.8,0.8/3.5/22.2,0.8,2.5,18.8,20.0972,0,0,3.3,18.8,20.0972,22.1,23.6249,38.6249,104.1,823.3,162.6,772.5,,104.1,823.3,0.008,0.003,0.011,24.117,0.000,24.117,2.017,772.500,2.888,162.600,2.211,3.3453,67.23155,251061.85
117,35.85,29.11,403,3,H,93/25.2/147.6,12.6/25,12.6/37.6,12.6,0,25,26.725,0,0,12.6,25,26.725,37.6,40.1944,55.1944,93,25.2,147.6,,,93,0,0.135,0.000,0.135,32.070,0.000,32.070,1.968,147.600,2.169,125.200,2.098,4.2690,114.08974,358763.60
118,35.28,29.29,350,3,H,960.8/319.0/482.2,1.3/12.7,1.3/14.0,1.3,0,14,14.966,0,0,1.3,14,14.966,15.3,16.3557,31.3557,960.8,319,395.8,,,960.8,0,0.001,0.000,0.001,17.959,0.000,17.959,2.983,482.200,2.683,319.000,2.504,1.7841,26.70126,203812.05
119,35.31,29.22,340,3,H,464.2/170.8/395.8,2.2/28.3,2.2/30.5,2.2,0,30.5,32.6045,0,0,2.2,30.5,32.6045,32.7,34.9563,49.9563,464.2,170.8,395.8,,,464.2,0,0.005,0.000,0.005,39.125,0.000,39.125,2.667,395.800,2.597,170.800,2.232,3.1953,104.17968,324715.95
120,34.6,28.55,355,4,KH,183.0/892.3/91.6/479.4,6.1/13.2/17.4,6.1/19.3/35.8,6.1,13.2,17.4,18.6006,0,0,19.3,17.4,18.6006,36.7,39.2323,54.2323,183,892.3,91.6,479.4,,183,892.3,0.033,0.015,0.048,22.321,0.000,22.321,2.262,479.400,2.681,91.600,1.962,5.7138,106.27941,352509.95
121,35.26,31.32,309.6,3,H,111.1/30.6/245.3,10.5/25,10.5/35.5,10.5,0,25,26.725,0,0,10.5,25,26.725,35.5,37.9495,52.9495,111.1,30.6,245.3,,,111.1,0,0.095,0.000,0.095,32.070,0.000,32.070,2.046,245.300,2.390,30.600,1.486,15.8896,424.64823,344171.75
122,35.76,28.89,306,3,H,586.5/55.6/646.1,2.0/2.7,2.0/4.7,2,0,2.7,2.8863,0,0,2,2.7,2.8863,4.7,5.0243,20.0243,586.5,55.6,646.1,,,586.5,0,0.003,0.000,0.003,3.464,0.000,3.464,2.768,646.100,2.810,55.600,1.745,9.1029,26.27365,130157.95
123,35.87,29.47,357,4,KH,64.8/307.6/156.0/712.6,0.4/0.8/12.1,0.4/1.2/13.2,0.4,0.8,12.1,12.9349,0,0,1.2,12.1,12.9349,13.3,14.2177,29.2177,64.8,307.6,156,712.6,,64.8,307.6,0.006,0.003,0.009,15.522,0.000,15.522,1.812,712.600,2.853,156.000,2.193,3.4772,44.97672,189915.05
124,32.57,30.48,309,3,H,100.7/32.6/67.0,1.1/19.5,1.1/20.6,1.1,0,19.5,20.8455,0,0,1.1,19.5,20.8455,20.6,22.0214,37.0214,100.7,32.6,67,,,100.7,0,0.011,0.000,0.011,25.015,0.000,25.015,2.003,67.000,1.826,32.600,1.513,14.9783,312.23002,240639.10
125,33.67,29.99,201,3,H,60.8/10.1/231.5,12.7/24,12.7/36.7,12.7,0,24,25.656,0,0,12.7,24,25.656,36.7,39.2323,54.2323,60.8,10.1,231.5,,,60.8,0,0.209,0.000,0.209,30.787,0.000,30.787,1.784,231.500,2.365,10.100,1.004,44.6865,1146.47597,352509.95
126,32.66,30.17,292,3,H,84.2/17.6/50.8,2.3/11.7,2.3/14.0,2.3,0,11.7,12.5073,0,0,2.3,11.7,12.5073,14,14.966,29.966,84.2,17.6,50.8,,,84.2,0,0.027,0.000,0.027,15.009,0.000,15.009,1.925,50.800,1.706,17.600,1.246,26.6186,332.92707,194779.00
127,32.59,30.16,310,3,H,45.9/14.4/825.9,3.0/24.0,3.0/27.0,3,0,24,25.656,0,0,3,24,25.656,27,28.863,43.863,45.9,14.4,825.9,,,45.9,0,0.065,0.000,0.065,30.787,0.000,30.787,1.662,825.900,2.917,14.400,1.158,32.0983,823.51361,285109.50
128,33.43,29.59,303,3,H,38.7/6.2/181.3,12.3/26,12.3/38.3,12.3,0,26,27.794,0,0,12.3,26,27.794,38.3,40.9427,55.9427,38.7,6.2,181.3,,,38.7,0,0.318,0.000,0.318,33.353,0.000,33.353,1.588,181.300,2.258,6.200,0.792,70.4483,1958.03942,363627.55
129,32.88,30.26,308,3,H,114.2/21.8/635.2,2.6/9.3,2.6/11.9,2.6,0,9.3,9.9417,0,0,2.6,9.3,9.9417,11.9,12.7211,27.7211,114.2,21.8,635.2,,,114.2,0,0.023,0.000,0.023,11.930,0.000,11.930,2.058,635.200,2.803,21.800,1.338,21.8014,216.74316,180187.15
130,33.16,29.81,428,4,KH,30.7/224.4/22.3/217.0,0.5/9.5/17.3,0.5/10/27.3,0.5,9.5,17.3,18.4937,0,0,10,17.3,18.4937,27.3,29.1837,44.1837,30.7,224.4,22.3,217,,30.7,224.4,0.016,0.042,0.059,22.192,0.000,22.192,1.487,217.000,2.336,22.300,1.348,21.3451,394.74960,287194.05
131,33.76,30.31,273,3,H,81.2/19.6/204.2,4.5/27.4,4.5/31.9,4.5,0,27.4,29.2906,0,0,4.5,27.4,29.2906,31.9,34.1011,49.1011,81.2,19.6,204.2,,,81.2,0,0.055,0.000,0.055,35.149,0.000,35.149,1.910,204.200,2.310,19.600,1.292,24.0759,705.19651,319157.15
132,32.46,29.48,338,3,H,56.5/14.0/34.5,4.2/25,4.2/29.2,4.2,0,25,26.725,0,0,4.2,25,26.725,29.2,31.2148,46.2148,56.5,14,34.5,,,56.5,0,0.074,0.000,0.074,32.070,0.000,32.070,1.752,34.500,1.538,14.000,1.146,32.9530,880.66800,300396.20
133,33.22,29.28,331,3,H,135.0/20.7/393.2,1.3/13.6,1.3/14.8,1.3,0,13.6,14.5384,0,0,1.3,13.6,14.5384,14.9,15.9281,30.9281,135,20.7,393.2,,,135,0,0.010,0.000,0.010,17.446,0.000,17.446,2.130,393.200,2.595,20.700,1.316,22.8802,332.64202,201032.65
134,33.01,29.89,318,4,KH,65/81.7/115.5/65.6/142.9,1.0/4.6/23.4/27.6,1/5.6/29/56.6,1,4.6,23.4,25.0146,27.6,29.5044,5.6,51,54.519,56.6,60.5054,75.5054,65,81.7,115.5,65.6,142.9,65,81.7,0.015,0.056,0.072,30.018,5.163,35.181,1.813,142.900,2.155,41.700,1.620,11.9049,297.79621,490785.10
135,32.42,30.95,327,4,HK,61.5/14.3/249.7/33.9,1.0/6.0/15.6,1.0/7.0/22.6,1,6,15.6,16.6764,0,0,7,15.6,16.6764,22.6,24.1594,39.1594,61.5,14.3,249.7,33.9,,61.5,14.3,0.016,0.420,0.436,20.012,0.000,20.012,1.789,33.900,1.530,14.300,1.155,32.3076,538.77484,254536.10
136,32.72,29.95,307,3,H,71.2/33.0/1030.6,10.0/26.0,10.0/36,10,0,26,27.794,0,0,10,26,27.794,36,38.484,53.484,71.2,33,1030.6,,,71.2,0,0.140,0.000,0.140,33.353,0.000,33.353,1.852,1030.600,3.013,33.000,1.519,14.8089,411.59758,347646.00
137,33.37,29.75,331,3,H,104.9/9.2/382.7,2.1/36.5,2.1/38.6,2.1,0,36.5,39.0185,0,0,2.1,36.5,39.0185,38.6,41.2634,56.2634,104.9,9.2,382.7,,,104.9,0,0.020,0.000,0.020,46.822,0.000,46.822,2.021,382.700,2.583,19.200,1.283,24.5434,957.64777,365712.10
138,32.36,30.45,309,4,HA,23.1/12.0/89.2/182.2,0.7/2.3/28.5,0.7/3.1/31.6,0.7,2.3,28.5,30.4665,0,0,3,28.5,30.4665,31.5,33.6735,48.6735,23.1,12,89.2,182.2,,23.1,12,0.030,0.192,0.222,36.560,0.000,36.560,1.364,182.200,2.261,12.000,1.079,38.0491,1159.22314,316377.75
139,32.65,29.83,326,3,H,104/9.2/68.0,2.1/23.1,2.1/25.2,2.1,0,23.1,24.6939,0,0,2.1,23.1,24.6939,25.2,26.9388,41.9388,104,9.2,68,,,104,0,0.020,0.000,0.020,29.633,0.000,29.633,2.017,68.000,1.833,9.200,0.964,48.7514,1203.86172,272602.20
140,32.19,29.52,338,3,H,94.3/12.3/34.9,1.4/27.2,1.4/28.6,1.4,0,27.2,29.0768,0,0,1.4,27.2,29.0768,28.6,30.5734,45.5734,94.3,12.3,34.9,,,94.3,0,0.015,0.000,0.015,34.892,0.000,34.892,1.975,34.900,1.543,12.300,1.090,37.1827,1081.15396,296227.10
141,32.95,30.17,302,3,H,55.2/14.5/251.1,2.4/25,2.4/27.4,2.4,0,25,26.725,0,0,2.4,25,26.725,27.4,29.2906,44.2906,55.2,14.5,251.1,,,55.2,0,0.043,0.000,0.043,32.070,0.000,32.070,1.742,251.100,2.400,14.500,1.161,31.8917,852.30673,287888.90
142,32.78,30.55,296,3,H,106.7/22.1/82.5,0.9/27.7,0.9/28.6,0.9,0,27.7,29.6113,0,0,0.9,27.7,29.6113,28.6,30.5734,45.5734,106.7,22.1,82.5,,,106.7,0,0.008,0.000,0.008,35.534,0.000,35.534,2.028,82.500,1.916,22.100,1.344,21.5252,637.38986,296227.10
143,32.54,29.67,319,4,HA,51.6/19.0/104.0/76.1,0.8/5.0/19.8,0.8/5.8/25.6,0.8,5,19.8,21.1662,0,0,5.8,19.8,21.1662,25.6,27.3664,42.3664,51.6,19,104,76.1,,51.6,19,0.016,0.263,0.279,25.399,0.000,25.399,1.713,76.100,1.881,19.000,1.279,24.7843,524.59034,275381.60
144,33.1,29.43,323,4,KA,20.1/76.5/69.5/132.9,0.5/1.2/2.7,5.0/7.6/28.4,0.5,1.2,2.7,2.8863,0,0,1.7,2.7,2.8863,4.4,4.7036,19.7036,20.1,76.5,69.5,132.9,,20.1,76.5,0.025,0.016,0.041,3.464,0.000,3.464,1.303,132.900,2.124,9.500,0.978,47.3137,136.56163,128073.40
145,32.96,29.41,183,3,H,52.6/14.3/68.2,1.1/16.9,1.1/18.0,1.1,0,16.9,18.0661,0,0,1.1,16.9,18.0661,18,19.242,34.242,52.6,14.3,68.2,,,52.6,0,0.021,0.000,0.021,21.679,0.000,21.679,1.721,68.200,1.834,14.300,1.155,32.3076,583.67274,222573.00
146,32.97,29.12,303,3,H,69.5/20.0/310.2,1.1/16.1,1.1/17.2,1.1,0,16.1,17.2109,0,0,1.1,16.1,17.2109,17.2,18.3868,33.3868,69.5,20,310.2,,,69.5,0,0.016,0.000,0.016,20.653,0.000,20.653,1.842,310.200,2.492,20.000,1.301,23.6264,406.63138,217014.20
147,33.2,30.01,308,4,KH,460.9/886.7/21.3/1549.6,0.5/16.3/18.8,0.5/16.8/35.6,0.5,16.3,18.8,20.0972,0,0,16.8,18.8,20.0972,35.6,38.0564,53.0564,460.9,886.7,21.3,1549.6,,460.9,886.7,0.001,0.018,0.019,24.117,0.000,24.117,2.664,1549.600,3.190,21.300,1.328,22.2784,447.73426,344866.60
148,33.74,30.5,292,3,H,42.9/19.0/75.4,10.2/29.7,10.2/39.9,10.2,0,29.7,31.7493,0,0,10.2,29.7,31.7493,39.9,42.6531,57.6531,42.9,19,75.4,,,42.9,0,0.238,0.000,0.238,38.099,0.000,38.099,1.632,75.400,1.877,19.000,1.279,24.7843,786.88551,374745.15
149,32.71,29.36,285,5,HK,29.1/1362.7/302.4/264/217.2,0.5/3.8/7.0/9.7,0.5/4.3/11.3/21.3,0.5,3.8,7,7.483,9.7,10.3693,4.3,16.7,17.8523,21,22.449,37.449,29.1,1362.7,302.4,264,217.2,29.1,302.4,0.017,0.013,0.030,8.980,1.815,10.794,1.464,217.200,2.337,302.400,2.481,1.8753,14.03304,243418.50
150,32.82,29.1,289,3,H,124.2/15.7/165.4,1.5/22,1.5/23.5,1.5,0,22,23.518,0,0,1.5,22,23.518,23.5,25.1215,40.1215,124.2,15.7,165.4,,,124.2,0,0.012,0.000,0.012,28.222,0.000,28.222,2.094,165.400,2.219,15.700,1.196,29.6119,696.41230,260789.75
151,32.91,29.34,326,4,HK,129.1/21.0/263.9/38.2,1.1/6.4/19.3,1.1/7.6/26.9,1.1,6.4,19.3,20.6317,0,0,7.5,19.3,20.6317,26.8,28.6492,43.6492,129.1,21,263.9,38.2,,129.1,263.9,0.009,0.024,0.033,24.758,0.000,24.758,2.111,38.200,1.582,21.000,1.322,22.5752,465.76442,283719.80
152,32.3,29.56,338,3,H,68.8/16.8/53.3,1.0/17.1,1.0/18.2,1,0,17.1,18.2799,0,0,1,17.1,18.2799,18.1,19.3489,34.3489,68.8,16.8,53.3,,,68.8,0,0.015,0.000,0.015,21.936,0.000,21.936,1.838,53.300,1.727,16.800,1.225,27.7992,508.16608,223267.85
153,32.36,29.48,339,3,H,109.2/83.1/177.2,6.5/27,6.5/33.3,6.5,0,27,28.863,0,0,6.5,27,28.863,33.5,35.8115,50.8115,109.2,83.1,177.2,,,109.2,0,0.060,0.000,0.060,34.636,0.000,34.636,2.038,177.200,2.248,83.100,1.920,6.2571,180.59976,330274.75
